localword,tweetid,type
nyc_28,"[['777377635240378368', '777378304005328896', '777379007952199680', '777379668177674240', '777380322010738688', '777380848677056512', '777382463354114048', '777502148913426432', '777502274440531968', '777503628177309697', '777504154386173952', '777504893854552065', '777505047567630338', '777505155017154560', '777505456285712384', '777505503576461312', '777506252452659200', '777507111228112896', '777507981084749824', '777508228867485696', '777508371549319168', '777509323433844737', '777509880206725124', '777509973177667584', '777510483691606016', '777513018762653696', '777513228175675396', '777514673495216129', '777515100441833472', '777515360841035776', '777527610540560384', '777528368640196608', '777528412483231744', '777528676208500736', '777528819947307009', '777528942307663873', '777541371133587456', '777542923697197056', '777543830182604800', '777543856325857280', '777543880749244416', '777544514768515072', '777545561096323072', '777546850006073345', '777546900702625792', '777547130512744448', '777547877770006532', '777548101619974144', '777548650415165440', '777553669810167808', '777554276734251008', '777554622412103680', '777554848132792324', '777554920627068929', '777554963014774784', '777555721990705152', '777556040401428480', '777578063991308288', '777578244757487616', '777578361623314433', '777579281853579266', '777581591988146181', '777581625844662273', '777582093467586564', '777582534532136960', '777582837092511744', '777583261925212160', '777583367072153600', '777583493752709120', '777583785927991296', '777587657077432320', '777588071177056256', '777588504104697856', '777589306193915904', '777590358360334336', '777595909542703109', '777596070373326848', '777597310985445376', '777597314009530369', '777597324239466496', '777597580830138369', '777597741232955392', '777598051393437696', '777598293887029248', '777601823515500545', '777602345739902977', '777603083341664260', '777603904674537472', '777604249316384771', '777604820891013120', '777604920828567552', '777605349536829441', '777607350366593024', '777610288019288064', '777610380717719553', '777610402335223809', '777610633252577281', '777610726747799553', '777610932121903104', '777611307105124353', '777611667865677824', '777613622327390208', '777613822437761024', '777615537866153984', '777616990877777920', '777617236496265216', '777618875898736640', '777619100851994624', '777620132466155520', '777620201667960832', '777620916666765313', '777621051291398145', '777621210515505153', '777621330220847104', '777621529316188161', '777621602796175360', '777623156659859456', '777623243670822912', '777623701680513024', '777624770078572545', '777625071447904260', '777625299915644928', '777625419709382656', '777625654917406720', '777626160968654849', '777627306684739584', '777627551749509120', '777627609517535232', '777627731156672513', '777628338034573313', '777628384692211713', '777628504699658248', '777629109266571271', '777629285687369728', '777630263002042368', '777631892296310784', '777632417414803456', '777633539567161344', '777633868279013376', '777634350481469440', '777635659125317633', '777635918278713344', '777636823384350720', '777637769728307200', '777638063078080513', '777638190282895360', '777638419337912320', '777639732595552257', '777639918273265664', '777641432542801920', '777643212013916160', '777643486312931328', '777644710621872128', '777644741945163776', '777644823100723200', '777644857745637376', '777652304518471680', '777652372214603781', '777653933460295680', '777654858656559104', '777654868790087684', '777654891187699712', '777655480026066948', '777655570388099072', '777656369738645504', '777661165593919489', '777661197097263105', '777667469116903424', '777669378573672448', '777670526089109504', '777671100775800832', '777671135869763588', '777672252955488256', '777672459646603264', '777672679444795392', '777672970194022400', '777683849501368320', '777685977401741312', '777686063594733568', '777687678456176640', '777687717572292612', '777688449969258496', '777688621314936832', '777688690004938752', '777689278163845120', '777689639985504258', '777690094425739264', '777690597574512640', '777691346140295168', '777691542802882565', '777692715307954176', '777693326006947842', '777693656912392192', '777694112556408832', '777695485280694272', '777695904270782464', '777697168966635520', '777698046935261184', '777698055667654656', '777708875378151425', '777709159118626816', '777710350934441984', '777711022878650368', '777711181184335873', '777711422062989312', '777713906622074881', '777717270235770880', '777717456148103168', '777717801712689152', '777717985700028416', '777362849790357504', '777363008829976577', '777363880653848576', '777363942859472896', '777375798147842052', '777720782944342016', '777721782925131776', '777722811221762048', '777723309156802560', '777729131253526528', '777729578546716672', '777734299709739008', '777841886665043968', '777841997621055488', '777842293613142016', '777842362336829440', '777842704566878208', '777846925504548866', '777863443688873984', '777863597435326464', '777863880085299200', '777864385528229889', '777866674510802945', '777866691833368577', '777867167236812800', '777869195799359489', '777869813528092672', '777870576262254592', '777872114632253441', '777873502435024896', '777874279555674112', '777876247544225792', '777876342167797760', '777876491400941568', '777876568102178816', '777876896902025216', '777877348720975872', '777880635188867072', '777881028065124352', '777881221170917377', '777881229257474048', '777882001722503168', '777884316386856961', '777885139267358720', '777889594813452289', '777890442817994752', '777890722624180224', '777890959744872448', '777892943919276032', '777893522653454336', '777894567748235264', '777895588641722369', '777895591540035584', '777895604936736768', '777896063067885569', '777896303556562944', '777896311018385408', '777922409265455104', '777922455348412416', '777924138572910592', '777924155492663296', '777924620611624960', '777924632468914176', '777924752841334784', '777925202181324800', '777925640599269376', '777926063053737984', '777926364414480384', '777927832039264257', '777928366502674433', '777928405874569217', '777928953017278465', '777929787989975040', '777932525838536706', '777932848556748801', '777934343058579456', '777935847219834880', '777936599082500096', '777936640496930816', '777937453411729408', '777939436826943488', '777939621074333696', '777939693161807872', '777940292976644096', '777940499684438016', '777940892413992962', '777941004003397632', '777941364638179328', '777941564458954752', '777941814380724224', '777942132925562880', '777942995433730048', '777943166452236289', '777943219615178752', '777958211110342656', '777959899644977152', '777960135968686084', '777960194575773700', '777961477470691332', '777962440634105856', '777962985876692996', '777963206199373824', '777963302534078465', '777963480968204288', '777964090656366592', '777964672485953536', '777964915734745089', '777966523088531456', '777966711265976321', '777966759340941312', '777967723406065664', '777968106136297472', '777968124905742337', '777968768534343681', '777969715612258304', '777970008534110208', '777971764563292164', '777973829415174145', '777973947212193793', '777978693197164544', '777978803423293441', '777979008273309696', '777979420346843137', '777981409755537408', '777984176259788800', '777984679513292800', '777985039678246912', '777985102081093632', '777986155216310274', '777986540983070721', '777987045222260737', '777988737309474818', '777989655409074176', '777989661323042819', '777989881888804864', '777989994203840512', '777990069667950592', '777991722831937537', '777991797196853248', '777992845022167040', '777992869315346432', '777992876336742400', '777992904732209152', '777992958792564736', '777997234763919361', '777997585999093760', '777997588259799040', '778000660113551360', '778000775871995906', '778001339255259136', '778002527606431745', '778021880573878272', '778022094990774272', '778022228365500416', '778022283877154816', '778022549129138176', '778022800569229312', '778023155411681281', '778023371640598528', '778023598959255552', '778024651289088000', '778025202970161152', '778026056317972480', '778026207296102400', '778026462641328128', '778027880039284741', '778029014573195264', '778030276819705856', '778030423200952320', '778030861216124928', '778031871540228096', '778031904901718017', '778033758846844928', '778034710484164609', '778034802263986177', '778036036228288512', '778036900233904128', '778037576250818560', '778037697214554112', '778037726847365122', '778046758458888197', '778047081646817280', '778047845786066944', '778048055530647552', '778048131334344706', '778048187231637504', '778049416833802240', '778049473234829312', '778049893650853888', '778051221273927680', '778053811411689473', '778054633382039553', '778055575355715585', '778060502337482753', '778060653764419584', '778060768721764352', '778060851479797761', '778061231064309764', '778066443661217792', '778066766022967297', '778068286604992512', '778068650666364929', '778069028959125504', '778069408505819136', '778069507604615168', '778069536436285440', '778070133361242112', '778070143805038592', '778072074535534592', '778074885926981632', '778075025589071872', '778075090147696641', '778076598578909184', '778076750471426049', '778077276139237376', '778078256192978945', '778093066561458177', '778094546685165569', '778094755477594112', '778095841907249152', '778097106003357698', '778097570811940865', '778097690169270272', '778098690712039424', '778099860499210240', '778100517205581824', '778102528542212096', '778102901885591554', '778104461587808258', '778104481158430720', '778104513974693892', '778106950177480704', '778107772042940417', '778109118792040448', '778116975612530688', '778121438209474560', '778123963998334976', '778127691543379969', '778131053550665729', '778136814465015808', '778138130193014785', '778147215051198465', '778153952491737088', '778164625305137152', '778167069418385409', '778196827963330560', '778198882354278400', '778200139416608769', '778200346816552964', '778203735684222977', '778205148858441728', '778205186498170882', '778216265189949440', '778216883086561280', '778217315498352640', '778224526131736577', '778225682438561792', '778225719591768064', '778226872991813632', '778227196926234624', '778227291453259776', '778230637933240324', '778231270606266369', '778231881926004736', '778233113184968704', '778251637131390976', '778251711815225344', '778252118943686656', '778252454727147520', '778253086657830912', '778253721763536896', '778254607092813824', '778254946063949825', '778256031235309568', '778256103427760128', '778257120009551872', '778257307700305920', '778266173846720512', '778268288770015235', '778268824348917760', '778268893722841088', '778268901582995458', '778269162011525120', '778271304315179008', '778272071763787776', '778274545681641472', '778274637788614656', '778275041066770434', '778285590399873025', '778285767030431744', '778286591932526592', '778286971252867072', '778290791378804737', '778291260444516352', '778292198915833856', '778293301212487680', '778293605517647873', '778293792826724353', '778294209732280320', '778296172855324672', '778296253696372736', '778300076267565056', '778300150263353344', '778300273970163713', '778301388887556097', '778301617263304704', '778302623057256448', '778303469019025408', '778304951105773568', '778304968470126592', '778305341222027264', '778305577411874817', '778308941067395073', '778310859026300928', '778311140409565185', '778311279601655809', '778311420014391296', '778311802706944000', '778312018105360384', '778312422759272448', '778313042442461184', '778314532519239680', '778314694008397824', '778314836564475904', '778316799804866562', '778317699654967296', '778317974226800640', '778318683525550080', '778319157062434818', '778320328950845440', '778321274921684992', '778338069774733313', '778338799411658752', '778339364787150848', '778340281972236288', '778340687460708352', '778340881069813760', '778341142211366912', '778342263856390144', '778342284379160577', '778342338074640388', '778342617369153537', '778342714945499136', '778343310377226240', '778343668990083073', '778344283627741187', '778344414070530048', '778345388633882624', '778345508116967424', '778346198759567361', '778347405146107904', '778348905939492864', '778349706862821376', '778355675126755328', '778356007932080129', '778356035241127936', '778357173134958592', '778358270977314820', '778359985151414272', '778360105301598208', '778361646473367552', '778362304945463296', '778362495866056705', '778362572135366656', '778362906597593088', '778364526420865024', '778365214727270400', '778366320727494656', '778370847815925761', '778371016527523840', '778371237848444928', '778371257599401984', '778371277329408000', '778371450608685060', '778372068337446912', '778372109080862720', '778372351301935104', '778372589630676996', '778373021245595648', '778373303312547840', '778374556654440448', '778374733540761601', '778375849506594816', '778376162078658560', '778376448663023616', '778376541319274496', '778376622902747140', '778377007818166272', '778377737153241089', '778378022160326656', '778378862925316097', '778378867664977920', '778378959641833472', '778378988150554624', '778379565043478528', '778379703296065536', '778389966762217472', '778390112166117376', '778390281846595584', '778391067884269568', '778392030707933184', '778392094264135680', '778392925046706176', '778394542181580800', '778394587585011716', '778395141526556672', '778395269385822209', '778395320996749312', '778395403096039424', '778397493126049792', '778397734273294336', '778399253974487040', '778399494350200833', '778400910787551232', '778401675593785345', '778401872440950785', '778402199768399873', '778402785687576576', '778403275855032320', '778411221028638721', '778411487744360448', '778411632678535168', '778411719043538946', '778413683529527296', '778413867701407744', '778414172753264641', '778414307365249024', '778414567265177600', '778415203117432833', '778415373221855232', '778416190104494080', '778416379615645697', '778417166454587392', '778417603844771841', '778417827057328128', '778418185632489472', '778418345401995264', '778419329771704320', '778419510239895553', '778419738779287556', '778420574750203904', '778420586393600004', '778436329755533312', '778436351242797056', '778437327572074496', '778438221130637312', '778438575054475265', '778439285997318144', '778441562480975872', '778081810844684288', '778083408853557248', '778084282556375040', '778086068126113792', '778087538317725696', '778090744770887681', '778090907690205185', '778091835034046464', '778092056916942849', '778451520773693449', '778451924056014848', '778467024322179072', '778468426868137984', '778470520446517249', '778472169101598720', '778472568361627648', '778492111821737988', '778508295220916229', '778509725491007488', '778515806657273858', '778526087433314305', '778541495636852737', '778543631850414080', '778543932305211393', '778545314013798400', '778545474429132802', '778550457086062592', '778555421359349760', '778556751234732032', '778557899715010561', '778558483243212801', '778558812194156546', '778560994649833473', '778580754745823232', '778580830893420544', '778581320087638016', '778583791149473792', '778586515391782915', '778599558616117248', '778600917880958976', '778601554068865024', '778602665077010432', '778614902713946113', '778615332500013056', '778617293592989696', '778618443578875904', '778626261287636992', '778626675248693248', '778628205032841216', '778629344176377857', '778638213405704192', '778638566318485505', '778639169740476416', '778639203579994112', '778639925151461376', '778640562232713216', '778641168393498624', '778641542999339009', '778641847275184128', '778646887998029824', '778647837433270272', '778648194964156416', '778648847623028736', '778649976385728512', '778650130668986368', '778651156595740672', '778651213839597568', '778651271121231873', '778652273434124288', '778653363957297153', '778653492902760448', '778654564182523904', '778656456623136768', '778656540601360384', '778656775218327552', '778657153217355776', '778659361744904192', '778659419856986114', '778660161124696066', '778660223003205632', '778660494748033025', '778661714178998273', '778662915121360896', '778663609085734912', '778665807035375616', '778665858683981824', '778665960873922561', '778690556167806980', '778690959311724544', '778691027464953856', '778691718950510597', '778691947611369473', '778693360995344385', '778693615107190784', '778693880652832768', '778693938420912129', '778694631273799680', '778694851751661568', '778695382586888192', '778695442850721794', '778695460257009664', '778696209171030016', '778697109646118912', '778697219515887616', '778697359584661506', '778697917464883201', '778698086130458624', '778698130837561344', '778698298014085121', '778698456558821376', '778703474426904576', '778703476142419968', '778703578256986116', '778704332334125056', '778704843187761152', '778705362014789632', '778705578893815813', '778706194743463937', '778706245976928257', '778706489754071043', '778706872769458176', '778707458717921280', '778707485389561858', '778708115336273921', '778708597731581952', '778709093154299905', '778710014391222272', '778710750177005568', '778711804990021632', '778712444784906240', '778713147788005377', '778713147980951553', '778713659312791552', '778719704592429060', '778719934914240512', '778721020232409088', '778721104114294784', '778722305790791681', '778722331761848321', '778722912727465988', '778723161160294405', '778730201245114369', '778730322263281664', '778730862900682752', '778732774446346241', '778732794297978880', '778733318716076032', '778733374106021888', '778733599830880256', '778733794320723968', '778733859894464513', '778733877468594180', '778741657969635328', '778741904313692160', '778742287677267969', '778742423799291906', '778742719447302144', '778743317940965377', '778745060472922112', '778745118756970496', '778748075124723713', '778749451166818304', '778749807493951488', '778750124918992896', '778750173090488324', '778765685690290176', '778766162448396289', '778766415876743168', '778767714110222339', '778768539628937216', '778769796037013505', '778770405750374401', '778770843031654400', '778771133931937792', '778773810589814786', '778774126525906945', '778776547432030208', '778778479735209984', '778778630377922560', '778779689905160192', '778780006105358336', '778780110749065216', '778781174508429313', '778781183857553409', '778787760870199296', '778787807657689088', '778787943632605184', '778789934270259201', '778791922110390272', '778795050301923328', '778795594299084800', '778796181103050753', '778796424360235008', '778796455968382977', '778796456962617344', '778796623509934080', '778797502711664641', '778797918870315009', '778797947261558784', '778444226958811136', '778445272158380032', '778445734496509952', '778446841692102656', '778902131436912640', '778907809668816897', '778908535929368576', '778908554837172224', '778908724538773504', '778919330138427392', '778921820607119360', '778924081185816576', '778924962807635968', '778925563323056128', '778926764512931840', '778926900114759680', '778936770230706176', '778936870755442688', '778937795578658816', '778938421129510917', '778939641172930560', '778941039583395840', '778942954933067778', '778948469012754432', '778949636375490560', '778952143961194498', '778952224378593282', '778953447957815296', '778953465615777792', '778955502218801153', '778955774210940931', '778956670626127873', '778957445335027713', '778981428977557508', '778983060091998209', '778983292343320576', '778983498824548353', '778983500896727040', '778984264947949568', '778984765420670976', '778984874388647936', '778985376048410624', '778985672841498625', '778986132952322048', '778986167186358272', '778986255702974464', '778986973251899393', '778987104378425344', '778987940017938432', '778988359771271168', '778989359156441088', '778990357258260482', '778990565841113088', '778990911309111296', '778991245913980930', '778993745211432960', '778994027001683968', '778994616003653634', '778994638682198016', '778994754059132930', '778995146666995712', '778995920071450628', '778998082637697024', '778998512327405568', '778998743521595392', '779000923465117697', '779002061425737728', '779002274555256832', '779002959992676352', '779004052076105728', '779004128240496640', '779004463642251264', '779004978262409216', '779005162719436800', '779005298619084801', '779006707699683329', '779006852445138944', '779007448380170240', '779008720713854976', '779013175815569408', '779022750769750016', '779022787130302469', '779023270477697024', '779023476057370624', '779023503215460352', '779023682186440704', '779024967652536324', '779025077929148417', '779025352626700289', '779025553844080640', '779026037887889408', '779026234659307522', '779032526153093120', '779033230339022849', '779033997422780416', '779034307679678464', '779034899906985984', '779035443924828160', '779035569393467404', '779035767192432641', '779035882246529024', '779037033897615360', '779037334620758016', '779037512782061569', '779038011589820416', '779038126161399808', '779038463958147073', '779038609898864640', '779038652055760897', '779038973796548608', '779039108811325442', '779039323211632641', '779039920115572736', '779040050881245184', '779040857806831616', '779041035074740224', '779041429750415360', '779041556598820864', '779041786098425856', '779041841656258560', '779042879771664384', '779042881625583616', '779043623094673408', '779043770234970112', '779045868062277632', '779045964518715396', '779046016578416640', '779047555179147272', '779047999532072960', '779049654394642432', '779050110906880000', '779078524787228672', '779078936814817280', '779079474801508356', '779079527700041728', '779080383665016832', '779080656546566144', '779080956955201540', '779081677939367936', '779082967973031936', '779083625312686080', '779083718078136320', '779085121701879808', '779085534404706304', '779085586435084288', '779086812039884801', '779087024594751492', '779087132845568001', '779087177208782848', '779089259944968192', '779089797440794625', '779089801966456832', '779089818168852480', '779089981394587648', '779090070062194689', '779090957316730880', '779091431252164608', '779093216637235201', '779094694848495617', '779094715887079424', '779095308441530368', '779095856746225664', '779095978443964416', '779096452899467268', '779100807350345728', '779100941303877632', '779101598236762112', '779102010914201600', '779102280595505153', '779102754128080896', '779104129670979586', '779104326882963457', '779107492571779072', '779107733198876672', '779108478048665601', '779108737005084676', '779108846513958912', '779108926361133057', '779109107248795648', '779109317232496644', '779109748230717440', '779110063894069248', '779114057467039744', '779114498720280576', '779115973102174208', '779116134847176704', '779117882101919744', '779118108233564160', '779119399550775296', '779119999461896193', '779120487330832384', '779120577239928833', '779120677970411520', '779121743508058112', '779122232123494400', '779122260271431680', '779123188324261888', '779124593789431808', '779124907837841408', '779125889078472708', '779126201185017856', '779126553603108864', '779127001764466689', '779130213259104256', '779130513827082240', '779130984600002560', '779131147879981056', '779132260683350017', '779132500081799168', '779132626313572352', '779133539929427968', '779133546304770048', '779134855904841729', '779135089909370880', '779135749073567748', '779136011691446272', '779138242390077440', '779138528110321664', '779138758528466944', '779138819543199744', '779140148218961921', '779140283413954560', '779141078888972288', '779141169506873344', '779141229833486336', '779148547371388929', '779148771678715904', '779148842994315264', '779149585650487296', '779150194843717633', '779150692158087168', '779151051891085312', '779151749906960385', '779151839782666240', '779152021857468416', '779153015525806080', '779154300324945920', '779155233800761344', '779155561350737920', '779155988213620736', '779156059961327616', '779156332985188353', '779156708631449600', '779157069521940480', '779157322874531840', '779157700953280517', '779158477637820418', '779159379975208961', '779160241091076096', '779160437178953728', '779160783531962368']]",topic 3
nyc_29,"[['777504668981297152', '777583971525857280', '777597942500691968', '777618928822476801', '777643155344781312', '777670249235771392', '777720320618819588', '777839555416297473', '777870326071975936', '777881070679101445', '777881554165100544', '777924215806627840', '777929278369435649', '777932715517632512', '777991549833584640', '778029723930750976', '778055468828725252', '778077623675215872', '778100431310520321', '778108513159680000', '778143645325221889', '778216847036456961', '778251278182932480', '778295021925720064', '778307980970356737', '778310492615958528', '778312081338761216', '778317879565553666', '778340047846117376', '778356865776386049', '778366175889719300', '778393867800367105', '778402559023280128', '778088215605571584', '778492496317861888', '778533522860572672', '778585107447832577', '778601179790073856', '778651868692111360', '778663607995211776', '778692407332175873', '778703656073867265', '778709701248688129', '778709730315218945', '778720532514545664', '778722991517470720', '778741739179749377', '778769140798590976', '778772846390771712', '778773933805809664', '778909179411066880', '778938866850009088', '778941622813876225', '778950189558169600', '778952107651051520', '779012934345322497', '779023999468572672', '779034492837040128', '779045391819952128', '779082442833432576', '779101106278371330', '779116968926441472', '779119368340840449', '779119937566629892', '779132429755875328', '779155602828394497']]",topic 3
nyc_29,"[['777504668981297152', '777583971525857280', '777597942500691968', '777618928822476801', '777643155344781312', '777670249235771392', '777720320618819588', '777839555416297473', '777870326071975936', '777881070679101445', '777881554165100544', '777924215806627840', '777929278369435649', '777932715517632512', '777991549833584640', '778029723930750976', '778055468828725252', '778077623675215872', '778100431310520321', '778108513159680000', '778143645325221889', '778216847036456961', '778251278182932480', '778295021925720064', '778307980970356737', '778310492615958528', '778312081338761216', '778317879565553666', '778340047846117376', '778356865776386049', '778366175889719300', '778393867800367105', '778402559023280128', '778088215605571584', '778492496317861888', '778533522860572672', '778585107447832577', '778601179790073856', '778651868692111360', '778663607995211776', '778692407332175873', '778703656073867265', '778709701248688129', '778709730315218945', '778720532514545664', '778722991517470720', '778741739179749377', '778769140798590976', '778772846390771712', '778773933805809664', '778909179411066880', '778938866850009088', '778941622813876225', '778950189558169600', '778952107651051520', '779012934345322497', '779023999468572672', '779034492837040128', '779045391819952128', '779082442833432576', '779101106278371330', '779116968926441472', '779119368340840449', '779119937566629892', '779132429755875328', '779155602828394497']]",topic 2
nyc_32,"[['777581004013785088', '777581688612356096', '777608685401083904', '777634560251142144', '777640853670072320', '777652370528403456', '777691657387008002', '777362557690609664', '777875683859058688', '777922167409434624', '777971151834320896', '777973017733373952', '778252274028146688', '778308834574073856', '778336940500389888', '778340484926308352', '778344034175705089', '778361984307847168', '778799525800452097', '779023386525757441', '779038394907258880', '779081576378433536', '779084640174895104', '779086973621374976', '779092836696268800', '779133007328374784']]",topic 58
nyc_32,"[['777581004013785088', '777581688612356096', '777608685401083904', '777634560251142144', '777640853670072320', '777652370528403456', '777691657387008002', '777362557690609664', '777875683859058688', '777922167409434624', '777971151834320896', '777973017733373952', '778252274028146688', '778308834574073856', '778336940500389888', '778340484926308352', '778344034175705089', '778361984307847168', '778799525800452097', '779023386525757441', '779038394907258880', '779081576378433536', '779084640174895104', '779086973621374976', '779092836696268800', '779133007328374784']]",topic 61
nyc_33,"[['777512931823157248', '777547294816305154', '777867503271874560', '777975719918002176', '778030023722885120', '778037282720714752', '778288742868090882', '778747946313457664', '778446249150210050', '778987040620765184', '779078527429861376', '779118453126930432', '779137597142687745']]",topic 52
nyc_33,"[['777512931823157248', '777547294816305154', '777867503271874560', '777975719918002176', '778030023722885120', '778037282720714752', '778288742868090882', '778747946313457664', '778446249150210050', '778987040620765184', '779078527429861376', '779118453126930432', '779137597142687745']]",topic 51
nyc_36,"[['777543284272930816', '777585464953929729', '777586827662204932', '777626191561916416', '777684586516152320', '778721011051040768']]",topic 3
nyc_36,"[['777543284272930816', '777585464953929729', '777586827662204932', '777626191561916416', '777684586516152320', '778721011051040768']]",topic 2
nyc_38,"[['777620081643819008', '777621551596376064', '777632167044255744', '777641557675696128', '777894672731516929', '777996896354897920', '778032131436142592', '778127708421234689', '778349558891892736', '778508429530959872', '778990313134288896']]",topic 0
nyc_39,"[['777612094178930688', '778711892982280192', '778713441624166400', '778720297071411200', '778955268348637184', '778956457324621824']]",topic 26
nyc_39,"[['777612094178930688', '778711892982280192', '778713441624166400', '778720297071411200', '778955268348637184', '778956457324621824']]",topic 25
nyceat_1,"[[777503932142743552, 778076581449371648, 778229767439060992, 778641551878676480, 778713755978915841, 778726139816652800]]",topic 34
nyceat_1,"[[777503932142743552, 778076581449371648, 778229767439060992, 778641551878676480, 778713755978915841, 778726139816652800]]",topic 33
nyceats_0,"[[777718355088334848, 778215578020356096, 778264370107256832, 778954823240650752]]",topic 33
nyceats_0,"[[777718355088334848, 778215578020356096, 778264370107256832, 778954823240650752]]",topic 34
nycfc_1,"[[777384935158054913, 777388389586898944, 778945608996487169]]",topic 37
nycfc_1,"[[777384935158054913, 777388389586898944, 778945608996487169]]",topic 36
nycfood_0,"[[777503932142743552, 778726139816652800, 778785626141274112, 778937732915687433, 779100889042841600]]",topic 33
nycfood_0,"[[777503932142743552, 778726139816652800, 778785626141274112, 778937732915687433, 779100889042841600]]",topic 34
nycfoodie_0,"[[777503932142743552, 777511518363455488, 777678243864379392, 777682111352467456, 778726139816652800]]",topic 33
nycfoodie_0,"[[777503932142743552, 777511518363455488, 777678243864379392, 777682111352467456, 778726139816652800]]",topic 34
nycskyline_1,"[[777644798727557120, 777655103746605056, 777876566256779264, 777928705532387328, 778008117502156800, 778065326256824320, 778188730305765376, 778229480724848640, 778755921250029568, 778905646141800448]]",topic 81
nycskyline_1,"[[777644798727557120, 777655103746605056, 777876566256779264, 777928705532387328, 778008117502156800, 778065326256824320, 778188730305765376, 778229480724848640, 778755921250029568, 778905646141800448]]",topic 82
nycstyle_0,"[[778244438543966208, 778266653767376896, 778651213839597568]]",topic 5
nycstyle_0,"[[778244438543966208, 778266653767376896, 778651213839597568]]",topic 2
nydc_0,"[[778780230379077632, 779038652055760897, 779106921961943040, 779122779023036416, 779125065162121216]]",topic 2
nydc_0,"[[778780230379077632, 779038652055760897, 779106921961943040, 779122779023036416, 779125065162121216]]",topic 4
nygiant_2,"[[777502700296630273, 777503603644895232, 777504650262155264, 777546232239644672, 777550959811530753, 777555923606700033, 777588610417557505, 777619560555876353, 777630799013249029]]",topic 37
nygiant_2,"[[777502700296630273, 777503603644895232, 777504650262155264, 777546232239644672, 777550959811530753, 777555923606700033, 777588610417557505, 777619560555876353, 777630799013249029]]",topic 36
nygiant_3,"[[777540646991257600, 777609094807035905]]",topic 36
nygiant_3,"[[777540646991257600, 777609094807035905]]",topic 37
nypd_3,"[[777480335344955394, 777509663726243840, 777569111027150848, 777584788001681409, 777591104501755906, 777679035572875264, 777716244304625664, 777839125135261696, 777841997621055488, 777844969084166144, 777873539064029184, 777897944062107648, 777904058254458881, 777905859200425986, 778020059105128448, 778188607081353216, 778255977892184068, 778266173846720512, 778414567265177600]]",topic 62
nypd_3,"[[777480335344955394, 777509663726243840, 777569111027150848, 777584788001681409, 777591104501755906, 777679035572875264, 777716244304625664, 777839125135261696, 777841997621055488, 777844969084166144, 777873539064029184, 777897944062107648, 777904058254458881, 777905859200425986, 778020059105128448, 778188607081353216, 778255977892184068, 778266173846720512, 778414567265177600]]",topic 58
nyu_0,"[[777557463629463553, 777669310705569792, 777671577919827968, 777745035446091776, 777881229257474048, 778248162406465538, 778255520926986240, 778262588585025540, 778276021531467776, 778303278262079488, 778334795772428289, 778345019568783365, 778359985151414272, 778419944254009344, 778615190275428352, 778630259604230144, 778718161659047936, 778733556784697345, 778775253552070657, 778946975991468032, 778963100494168064, 778977202079686656, 779030672140738560, 779051913987796992, 779053700660731905, 779080956955201540, 779094244845821952, 779151835458367489]]",topic 2
nyu_0,"[[777557463629463553, 777669310705569792, 777671577919827968, 777745035446091776, 777881229257474048, 778248162406465538, 778255520926986240, 778262588585025540, 778276021531467776, 778303278262079488, 778334795772428289, 778345019568783365, 778359985151414272, 778419944254009344, 778615190275428352, 778630259604230144, 778718161659047936, 778733556784697345, 778775253552070657, 778946975991468032, 778963100494168064, 778977202079686656, 779030672140738560, 779051913987796992, 779053700660731905, 779080956955201540, 779094244845821952, 779151835458367489]]",topic 3
oakland collesium_0,"[[777734956231561216, 778437725800189952, 779074105798631424]]",topic 37
oakland collesium_0,"[[777734956231561216, 778437725800189952, 779074105798631424]]",topic 36
obetz_0,"[[777944360738430976, 777953643160965120, 778947496538206208, 778992025848782849, 779068461272043520]]",topic 28
observatory_1,"[[777398110175854592, 777585132563726336]]",topic 15
observatory_2,"[[777376047574560768, 777376951472381952, 777606338167791616, 777618513724923906]]",topic 58
observatory_2,"[[777376047574560768, 777376951472381952, 777606338167791616, 777618513724923906]]",topic 61
obx2016_0,"[[777635719774887936, 777697330137038849]]",topic 58
obx2016_0,"[[777635719774887936, 777697330137038849]]",topic 64
obx_6,"[[777612163728994305, 777851163852931073, 777905112442253312, 777925238927405060, 777969781404229634, 777984823180746752, 778297174505328640, 778375229319983106, 778968986306228225, 778994197357531136, 779060775193149440, 779074183301070848]]",topic 81
obx_6,"[[777612163728994305, 777851163852931073, 777905112442253312, 777925238927405060, 777969781404229634, 777984823180746752, 778297174505328640, 778375229319983106, 778968986306228225, 778994197357531136, 779060775193149440, 779074183301070848]]",topic 83
oc_6,"[[777383300918829056, 777415336605908992, 777622653574189060, 777641193777795072, 777663536327778305, 777715421587902464, 777926555444051968, 777989231029387264, 778006561188827136, 778776350970769408, 778796234702151682, 779071323561598976, 779126194843287552, 779147505036558337]]",topic 33
oc_6,"[[777383300918829056, 777415336605908992, 777622653574189060, 777641193777795072, 777663536327778305, 777715421587902464, 777926555444051968, 777989231029387264, 778006561188827136, 778776350970769408, 778796234702151682, 779071323561598976, 779126194843287552, 779147505036558337]]",topic 34
oc_7,"[[777527370500698113, 777546005034205184, 777582105807065088, 777759937812373504, 777880004243890176, 778434021458055168, 778083314322341889, 778631013882814464, 778664378459688961, 778717981656231936, 778738842245275653, 779130461339607040]]",topic 58
