localword,tweetid,type
air canada centre_1,"[[777995618501398528, 777999875724025856, 778000299286007808, 778015752850923520, 778097522069872640, 778323797451481088, 778374095184490497, 778378493398843393, 778380837591015424, 778380917077344257, 778381890784944128, 778387032536121344, 778391017909133312, 778396576267972608, 778402032298389508, 778403828219670534, 778406548305547264, 778681205348704257, 778686845584420864, 778732973768093696, 778745590846988288, 778756835201454080, 778758727369457668, 778773756885995520, 779033196910350338, 779072908484194305, 779078232817545216, 779106958741803008, 779107946013786112, 779118067548696577, 779136290721820672, 779139007288532992, 779149726318866432, 779163443781775362, 779164642824159234]]",topic 36
air canada_0,"[[777518822089629696, 777673104931876865, 777676661730992128, 777694329234219008, 778047261364412421, 778379814428299264, 778418745983270913, 778699990168244224, 778763922094432256, 779112696772001797, 779160598915481600]]",topic 81
air canada_0,"[[777518822089629696, 777673104931876865, 777676661730992128, 777694329234219008, 778047261364412421, 778379814428299264, 778418745983270913, 778699990168244224, 778763922094432256, 779112696772001797, 779160598915481600]]",topic 83
alcatraz_0,"[[777567410052222976, 777586959921315841, 777683070514192384, 777757401206366208, 777939294153433088, 777941210514141184, 778043297709318144, 778129107091619840, 778361239126892544, 778398490728755200, 779005266268389376, 779043633597145088, 779062689918255104]]",topic 81
alcatraz_0,"[[777567410052222976, 777586959921315841, 777683070514192384, 777757401206366208, 777939294153433088, 777941210514141184, 778043297709318144, 778129107091619840, 778361239126892544, 778398490728755200, 779005266268389376, 779043633597145088, 779062689918255104]]",topic 83
altamontespring_0,"[[778349345942806532, 778814880518320128, 778939692934758400, 778966704147734528, 779041495445757952, 779044336981856256, 779049794836627456]]",topic 16
amarachi_0,"[[778019351039504384, 779051768093310977]]",topic 34
amarachi_0,"[[778019351039504384, 779051768093310977]]",topic 33
amc metreon_0,"[[778409815886487553, 778787461950476289]]",topic 9
amc metreon_0,"[[778409815886487553, 778787461950476289]]",topic 7
ame_0,"[[777401640525725696, 777556667386900480, 777564083927252993, 778307622072180737, 778381707682672642, 778403871152410625, 778712984847650818, 778987652812906496, 779071437726289920, 779098168847917057, 779121324086157312, 779131146437324804, 779150843966791680, 778809016902225924]]",topic 16
america stadium_0,"[[777497138800406529, 777523861197844480, 777526381093724160, 777555281026822144, 777598289063665664, 777604878453526528, 777606303975964672, 777620192167952390, 777852659604787200, 777865980231847936, 777868526090498048, 777882296980418560, 777973082526916609, 778001010149232640]]",topic 36
america stadium_0,"[[777497138800406529, 777523861197844480, 777526381093724160, 777555281026822144, 777598289063665664, 777604878453526528, 777606303975964672, 777620192167952390, 777852659604787200, 777865980231847936, 777868526090498048, 777882296980418560, 777973082526916609, 778001010149232640]]",topic 37
american airline center_0,"[[779112462847250432, 779112971360411648, 779121125334876160, 779135330351972352, 779136037045972992]]",topic 58
american airline center_0,"[[779112462847250432, 779112971360411648, 779121125334876160, 779135330351972352, 779136037045972992]]",topic 61
american museum_0,"[[778316799804866562, 778656558762774528, 778686971405185024]]",topic 2
american museum_0,"[[778316799804866562, 778656558762774528, 778686971405185024]]",topic 3
american university_0,"[[777512133642903552, 777370480219041792, 777924267304361984, 778060325967040512]]",topic 23
american university_0,"[[777512133642903552, 777370480219041792, 777924267304361984, 778060325967040512]]",topic 22
